部数,部名,類数,類名,HSコード,大項目,中項目,小項目,細項目,微細項目,項目,単位2
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010121000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ 馬,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010129000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ 馬,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010130000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ ろ馬,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010190000,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,－ その他のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010221000,牛（生きているものに限る。）,－ 家畜のもの,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010229000,牛（生きているものに限る。）,－ 家畜のもの,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010231000,牛（生きているものに限る。）,－ 水牛,－－ 純粋種の繁殖用のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010239000,牛（生きているものに限る。）,－ 水牛,－－ その他のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010290000,牛（生きているものに限る。）,－ その他のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010310000,豚（生きているものに限る。）,－ 純粋種の繁殖用のもの,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010391000,豚（生きているものに限る。）,－ その他のもの,－－ 1頭の重量が50キログラム未満のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010392000,豚（生きているものに限る。）,－ その他のもの,－－ 1頭の重量が50キログラム以上のもの,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010410000,羊及びやぎ（生きているものに限る。）,－ 羊,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010420000,羊及びやぎ（生きているものに限る。）,－ やぎ,,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010511000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ 鶏（ガルルス・ドメスティクス）,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010512000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ 七面鳥,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010513000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ あひる,,,,NO
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）,010514000,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,－ 1羽の重量が185グラム以下のもの,－－ がちよう,,,,NO
