部数,部名,類数,類名
第1部,動物（生きているものに限る。）及び動物性生産品,第1類,動物（生きているものに限る。）
第1部,動物（生きているものに限る。）及び動物性生産品,第2類,肉及び食用のくず肉
第1部,動物（生きているものに限る。）及び動物性生産品,第3類,魚並びに甲殻類、軟体動物及びその他の水棲無脊椎動物
第1部,動物（生きているものに限る。）及び動物性生産品,第4類,酪農品、鳥卵、天然はちみつ及び他の類に該当しない食用の動物性生産品
第1部,動物（生きているものに限る。）及び動物性生産品,第5類,動物性生産品（他の類に該当するものを除く。）
第2部,植物性生産品,第6類,生きている樹木その他の植物及びりん茎、根その他これらに類する物品並びに切花及び装飾用の葉
第2部,植物性生産品,第7類,食用の野菜、根及び塊茎
第2部,植物性生産品,第8類,食用の果実及びナット、かんきつ類の果皮並びにメロンの皮
第2部,植物性生産品,第9類,コーヒー、茶、マテ及び香辛料
第2部,植物性生産品,第10類,穀物
第2部,植物性生産品,第11類,穀粉、加工穀物、麦芽、でん粉、イヌリン及び小麦グルテン
第2部,植物性生産品,第12類,採油用の種及び果実、各種の種及び果実、工業用又は医薬用の植物並びにわら及び飼料用植物
第2部,植物性生産品,第13類,ラック並びにガム、樹脂その他の植物性の液汁及びエキス
第2部,植物性生産品,第14類,植物性の組物材料及び他の類に該当しない植物性生産品
第3部,動物性、植物性又は微生物性の油脂及びその分解生産物、調製食用脂並びに動物性又は植物性のろう,第15類,動物性、植物性又は微生物性の油脂及びその分解生産物、調製食用脂並びに動物性又は植物性のろう
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第16類,肉、魚、甲殻類、軟体動物若しくはその他の水棲無脊椎動物又は昆虫類の調製品
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第17類,糖類及び砂糖菓子
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第18類,ココア及びその調製品
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第19類,穀物、穀粉、でん粉又はミルクの調製品及びベーカリー製品
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第20類,野菜、果実、ナットその他植物の部分の調製品
第4部,調製食料品、飲料、アルコール、食酢、たばこ及び製造たばこ代用品、非燃焼吸引用の物品（ニコチンを含有するかしないかを問わない。）並びにニコチンを含有するその他の物品（ニコチンを人体に摂取するためのものに限る。）,第21類,各種の調製食料品
